aerobic capacity,NCT01125436
shoulder dystocia,"NCT01297439,NCT01618565"
cellulite orange peel skin,NCT01321268
fibrosing colonopathy in patients with cystic fibrosis,NCT01652157
anterior resection of rectum under laparotomy,NCT01470846
hepatitis d chronic,NCT00686790
aged,"NCT01218165,NCT01326637,NCT01358032,NCT01623232"
age related macular degeneration,"NCT01835015,NCT00275821,NCT00327470,NCT00539734,NCT01108250,NCT01165801,NCT01175395,NCT01255774,NCT01269151,NCT01301443,NCT01319188,NCT01327222,NCT01089517,NCT01350323,NCT01361256,NCT01362348,NCT01363570,NCT01402544,NCT01480700,NCT01516294,NCT01521819,NCT01528605,NCT01570608,NCT01570790,NCT01632527,NCT01634841,NCT01638858,NCT01678872,NCT01717937,NCT01731964,NCT01790802"
bone metastasis,"NCT01833806,NCT01586273"
cervical spondylotic myelopathy,NCT01257828
post essential thrombocythemia related myelofibrosis,NCT01298934
emergence delirium,"NCT01096797,NCT01221025"
hospital acquired pneumonia,NCT01577862
calciphylaxis,NCT01289626
heart complications valve prosthesis,NCT01802619
immunity to oral rotavirus vaccine,NCT01616693
arthritis knee,NCT01345123
haemophilus influenzae type b,"NCT00441012,NCT01000974"
gastric ph control,NCT01499693
small for gestational age,NCT00184717
adult glioblastoma,"NCT02020720,NCT01806675,NCT00006773,NCT00014170,NCT00016328,NCT00045565,NCT00058097,NCT00039494,NCT00045110,NCT01478321,NCT01730950,NCT01753713,NCT00085254"
nonviable pregnancy,NCT01708330
patients with mental disorders as defined by the dsm,NCT01510080
ileus,"NCT01143259,NCT01150760,NCT01156129"
mucinous cystadenocarcinoma of pancreas,NCT01525706
genetic disease,NCT01793090
sprains and strains,NCT01792908
life style,"NCT01221363,NCT01231256"
periampullary cancers causing obstructive jaundice,NCT01134276
renal vasculitis,NCT01363388
stage iic primary peritoneal cavity cancer,NCT01764802
electronic health records,NCT01787175
cardiac bypass patients,NCT01655940
dementia in parkinsons disease,NCT01701544
tufting enteropathy,NCT01114035
juvenile macular dystrophy,"NCT01469832,NCT01625559"
preoperative anaemic patients undergoing cardiac surgery,NCT01563367
multiple endocrine neoplasia,NCT00204373
hmg coa reductase inhibitor adverse reaction,"NCT01894217,NCT01493648,NCT01894230"
reading disorder,NCT00191906
colonic diverticulosis,"NCT01488045,NCT01552226"
extraocular extension melanoma,NCT00089063
support for midlevel health professionals,NCT01190540
immunotherapy allergen,NCT01144429
swelling,NCT01371877
extreme obesity,NCT01703273
mitral valvulopathy,NCT01649544
focal chondral defect in femoro tibial compartment or talus,NCT01791062
major depressive disorder part 2,NCT01413932
usual working condition,NCT01587092
sympathetic nerve activity,NCT01336335
malignant,NCT01569919
stage iv squamous cell carcinoma of the nasopharynx,"NCT00063895,NCT00031681,NCT00088907,NCT00098631,NCT00101348,NCT00114283,NCT01192815,NCT01334177,NCT01637194,NCT01674374,NCT01682031,NCT01696955,NCT01711541,NCT01816984"
recurrent childhood gemistocytic astrocytoma,NCT02020720
stage iii oral cavity squamous cell carcinoma,NCT01542931
subfertility,"NCT01662180,NCT01786252"
decision support system,NCT01427829
instrumental vaginal births,NCT01182038
transformed follicular lymphoma,NCT01397825
obstetric labor premature,NCT01286246
pressure ulcer,"NCT01438541,NCT01500174,NCT01819142"
lymphoid hematological malignancies,NCT01247688
bladder outlet obstruction,NCT01661621
novice teen driver training,NCT01498575
modified radical mastectomy,NCT01587248
skin crepiness,NCT01708499
prostate cancer screening decision,NCT01415375
aspergillosis,NCT00634049
dengue disease,NCT01502358
nonhematologic malignancies,NCT01454076
pedicle screw of fixation,NCT01247948
mild acute trauma,NCT01548443
cholera,"NCT01339845,NCT01579448,NCT01823939"
hypoxemic acute respiratory failure,NCT01617252
study part i healthy male and female volunteers,NCT01474161
emotional abuse,NCT01811719
bladder carcinoma,"NCT01215136,NCT01245660"
lower extremity weakness,NCT01552551
congenital heart diseases,"NCT01450956,NCT01619982"
stage i squamous cell carcinoma of the oropharynx,"NCT01588613,NCT01718223,NCT01748942"
coronary arteriosclerosis,"NCT00097591,NCT00319449,NCT00356135,NCT01182428,NCT01374698,NCT01430884,NCT00172536"
inappropriate sinus tachycardia,NCT01657136
dehydration,"NCT01139294,NCT01285713,NCT01343758,NCT01360333,NCT01503996,NCT01768234"
gonarthritis,NCT01696552
colon cancer surveillance,NCT01648504
chronic obstructive lung disease cold,NCT00190437
cardiogenic shock,NCT01367743
rectal prolapse,"NCT01301417,NCT01346436,NCT01595412,NCT01656369"
management risk,NCT01242319
stage iva rectal cancer,"NCT01806675,NCT00060411,NCT01787409,NCT00084643"
gallbladder cancer,"NCT00004604,NCT00033540,NCT00027534,NCT01308840,NCT01640522"
changes in upper airway geometry,NCT01594164
arthrosis of hand,NCT01831570
pes anserinus tendinobursitis,NCT01680263
influenza like illness,NCT01432340
cervical intraepithelial neoplasia,"NCT00337818,NCT00426361,NCT01356823,NCT00637195,NCT01298596,NCT01304524,NCT01524003,NCT00196937"
renal neoplasms,NCT00069160
severe asthma,NCT01350336
lumbar intervertebral disc degeneration,NCT01643681
early latent syphilis,NCT01540227
response preparation,NCT01218425
osteopenia of prematurity,NCT01676844
relapse remitting multiple sclerosis,NCT00203099
single women,NCT01223105
proximal urethral cancer,NCT00112905
neisseria gonorrhoeae,NCT01665690
coronary artery diseases,NCT01700075
chronic hepatitis c infection,"NCT01854697,NCT01833533,NCT01453075,NCT01525342,NCT01715415,NCT01716585,NCT01767116,NCT01782495,NCT01813513,NCT01813552"
acute compartment syndrome,"NCT01171638,NCT01284023,NCT01561261"
arterial stiffness,NCT01143987
endocarditis,NCT01734694
metastatic soft tissue sarcoma,"NCT01514188,NCT01574716"
myopathy,"NCT01225614,NCT01530841,NCT01790178"
child physical activity,NCT01396473
posttraumatic stress disorders,"NCT01157416,NCT01158001,NCT01338506"
diabetic ulcer,NCT01353937
nodal marginal zone b cell lymphoma,"NCT01805037,NCT00003196,NCT00005803,NCT00005799,NCT00014235,NCT00019708,NCT00025415,NCT00026182,NCT00040846,NCT00073918,NCT00060112,NCT00096161,NCT01273766,NCT00098891,NCT01408043,NCT00110071,NCT01479842,NCT00003970,NCT00012298,NCT01652014,NCT01658319,NCT01682044,NCT01695941,NCT01727102,NCT01729806,NCT01760655,NCT01812005,NCT01815749,NCT00082888,NCT00089076"
vascular lesions,NCT01305174
childhood diffuse large cell lymphoma,"NCT00005803,NCT00014235,NCT00040846,NCT01760655"
bone metabolism biomarkers,NCT01419730
achilles tendon,NCT01225497
pneumococcal meningitis,NCT01478035
patients undergoing elective total joint arthroplasty,NCT01570491
carbohydrate oxidation and glycogen utilization during and following exercise,NCT01709617
sexual dysfunction,"NCT01159678,NCT01238705,NCT01312259,NCT01554735,NCT01554865,NCT01642576,NCT01660152"
pancreatic beta islet cell carcinoma,NCT01465659
right colon tumors,NCT01319890
pediatric glaucoma,"NCT01494974,NCT01527682"
low intensity knee gonalgia,NCT01303432
intravenous propofol injection,NCT01463332
complex partial seizures,"NCT01266291,NCT01749046"
age related cognitive decline,NCT01634841
uterine atony,"NCT01549223,NCT01579201"
amnestic,NCT01184638
systemic light chain amyloidosis,NCT01789242
cerebral infarction,"NCT00004732,NCT00029146,NCT00200356,NCT01174693,NCT01414582,NCT01467206,NCT01500421,NCT01684462"
maternal health,"NCT01802957,NCT01821222"
hepatocellular carcinoma hcc,"NCT01247298,NCT01433016"
hemorrahgic fever with renal syndrome,NCT01502345
recurrent renal cell cancer,"NCT01806675,NCT00009919,NCT00032188,NCT00059813,NCT00126659,NCT00121251,NCT00126490,NCT00126594,NCT00005851,NCT01664182,NCT01727102,NCT01767636,NCT01826877,NCT00083109,NCT00217542"
outcome monitoring,NCT01334164
ocular surface disease,NCT01630551
childhood grade ii meningioma,NCT02020720
abdominal abscess,"NCT00515034,NCT01568853"
stomach dysplasia,NCT01760070
dysphagia,"NCT00592761,NCT01132066,NCT01202929,NCT01209910,NCT01279824,NCT01279837,NCT01370083,NCT01420796,NCT01438398,NCT01479231,NCT01570023,NCT01697891,NCT01723358,NCT01748942,NCT01758991,NCT01765673"
hematological malignancy,NCT01086735
diabetes retinopathy,NCT01832077
circadian rhythm disorders,"NCT01171508,NCT01327040"
newborn,"NCT01604460,NCT01732978"
superficial femoral artery stenosis,"NCT01336101,NCT01602159"
all hospitalized patients,NCT01797146
tooth erosion,NCT01622920
barrett esophagus,"NCT00411151,NCT01618643"
anastomotic biliary stricture,NCT01432808
acute bleeding esophageal varices,NCT01267669
formula feeding of healthy full term infants,NCT01197365
45768871bca0e3356478f7b1ee9a023a,NCT01272622
intestinal insufficiency,NCT01696656
transversus abdominis plane block from abdominal approach,NCT01144273
neuroectodermal tumors primitive,NCT01661400
unexplained subfertile couples with a good prognosis,NCT01820039
quadrivalent hpv vaccine,NCT01184079
chronic hcv,NCT01091077
oculocerebrorenal syndrome,NCT01314560
chronic hand dermatitis,NCT01482663
burn wound,NCT01268189
peri implantitis,"NCT01509898,NCT01521260"
malar deficiency,NCT01225354
bone remodeling,NCT01619956
complication of labor andor delivery,NCT00486902
stage ii breast carcinoma,NCT01688388
thyroid gland medullary carcinoma,NCT00118248
pre screening phase,NCT01392404
pleurisy with effusion,NCT01726556
diabetic kidney disease,NCT01214356
overall erythroid response at 24 weeks,NCT01196715
orofacial pain,NCT01327157
turner syndrome,"NCT01367834,NCT01410045,NCT01419249"
carcinoma gastroesophageal junction,NCT01404156
hepatic haemangioma,NCT01567631
apexification,NCT01817413
breast tumor,NCT01827969
conscious sedation failure during procedure,NCT01321047
bubbles in colon at time of colonoscopy,NCT01209806
amlodipine,NCT01203696
noncontiguous stage ii grade 3 follicular lymphoma,"NCT01805037,NCT00096161,NCT01273766,NCT01682044"
gynecologic surgery,NCT01705288
metastatic castration resistant prostate cancer,"NCT01541007,NCT01560923,NCT01663415"
intrauterine device expulsion,NCT01439802
colonoscopy,"NCT01838408,NCT00452426,NCT01142167,NCT01320826,NCT00856843,NCT01434927,NCT01440543,NCT01452737,NCT01458093,NCT01509131,NCT01518790,NCT01524042,NCT01568814,NCT01604187,NCT01685853,NCT01685970,NCT01711437"
enterovirus infections,NCT01313715
pelvic floor insufficiency,NCT01312259
hypotension prone hemodialysis patients,NCT01414842
bone and bones,NCT01216293
laparoscopic colectomy,"NCT01460485,NCT01461122,NCT01461135"
lupus nephritis,"NCT00282347,NCT00705367,NCT01169857,NCT01299922,NCT01369628,NCT01580865,NCT01765842"
liver transplant rejection,NCT01678937
thalassemia,"NCT00153985,NCT01369719,NCT01395199,NCT01419704,NCT01549080,NCT01736540,NCT01772680"
carcinoma hypopharynx,NCT01124409
end stage renal failure with renal transplant,"NCT01609673,NCT01653847"
prevention harmful effects,NCT01707537
dental caries,"NCT00495495,NCT01129440,NCT01147835,NCT01268605,NCT01296945,NCT01369134,NCT01417832,NCT01438866,NCT01496456,NCT01502566,NCT01503593,NCT01523613,NCT01584024,NCT01589991,NCT01604109,NCT01623362,NCT01631734,NCT01641861,NCT01657539,NCT01674933,NCT01680289,NCT01724827,NCT01763138,NCT01768390,NCT01778699,NCT01797458,NCT01811420"
medication side effects,NCT01770236
risk of fracture,NCT01428895
scaphoid non unions,NCT01419808
glucose metabolism disorders,"NCT01803776,NCT01296100,NCT01452958,NCT01681173"
sensory restoration of the reconstructed finger pulps,NCT01559337
plasma volume,NCT01483781
immunization rates,NCT01557621
other anemia,NCT01736540
eczema,"NCT00375713,NCT01143012,NCT01149759,NCT01230190,NCT01257061,NCT01429701,NCT01577628"
eye disease hereditary,NCT01399515
peptic ulcer hemorrhage,"NCT01125852,NCT01447498"
limb ischemia,NCT01079403
partial seizures,"NCT00407797,NCT01392768"
intensive care icu patients,NCT01721239
anaesthesia,"NCT01091766,NCT01142635,NCT01457274,NCT01583010,NCT01719952"
migraine,"NCT00246337,NCT00250458,NCT00382993,NCT00432237,NCT00440232,NCT00516737,NCT00712725,NCT00812006,NCT00843024,NCT00893737,NCT01073787,NCT01225263,NCT01300546,NCT01332864,NCT01211795,NCT01488110,NCT01501045,NCT01507610,NCT01545466,NCT01581281,NCT01617941,NCT01688739,NCT01695317,NCT01723514,NCT01726920,NCT01750723,NCT01775852,NCT01799590,NCT00203216"
ischemic dilated cardiomyopathy idcm,NCT01670981
lymphocytic leukemia l2,NCT01100658
lymphocytic leukemia l1,NCT01100658
cardiomyopathy hypertrophic,NCT01127061
children with chronic conditions,NCT01587105
family relationship family health happiness and harmony,NCT01720992
hepatitis c virus infection,"NCT01037621,NCT01285050,NCT01482611"
fibrosis,"NCT00347009,NCT01166594,NCT01268202,NCT01655017,NCT01822405"
development,"NCT01162798,NCT01561547,NCT01742520"
acute malnutrition,NCT01497236
supervised physical activity plus behavioural counseling,NCT01571401
effects of different meals on the qtqtc interval,NCT01642485
chronic leukemia,"NCT01336712,NCT01598025,NCT01624701,NCT01800643"
hypothermia newborn,"NCT02189746,NCT01403623"
neurosyphilis,NCT01589289
nut hypersensitivities,"NCT01834352,NCT01546753"
osteoarthritis,"NCT00141102,NCT00253877,NCT00312221,NCT00313846,NCT00380549,NCT00442546,NCT00485472,NCT00487435,NCT00542789,NCT00605124,NCT00764673,NCT01119547,NCT01137266,NCT01150929,NCT01159899,NCT01160835,NCT01164111,NCT01172327,NCT01185444,NCT01207661,NCT01229293,NCT01235715,NCT01239810,NCT01288066,NCT01293305,NCT01305356,NCT01306435,NCT01308515,NCT01312532,NCT01314183,NCT01321281,NCT01329406,NCT01335321,NCT01335438,NCT01336595,NCT01341405,NCT01351805,NCT01356199,NCT01361152,NCT01403207,NCT01404052,NCT01407549,NCT01412814,NCT01415856,NCT01418378,NCT01422642,NCT01430481,NCT01436058,NCT01451385,NCT01457300,NCT01459861,NCT01462240,NCT01463189,NCT01463566,NCT01464632,NCT01480440,NCT01480453,NCT01481896,NCT01484002,NCT01504464,NCT01512550,NCT01520571,NCT01529099,NCT01535417,NCT01537146,NCT01537328,NCT01537484,NCT01540851,NCT01542580,NCT01551472,NCT01572051,NCT01576445,NCT01583153,NCT01583985,NCT01585857,NCT01595581,NCT01606930,NCT01618084,NCT01618097,NCT01619150,NCT01625013,NCT01635166,NCT01638871,NCT01642706,NCT01651806,NCT01656759,NCT01657435,NCT01668511,NCT01682980,NCT01697241,NCT01714869,NCT01732562,NCT01733472,NCT01736644,NCT01739296,NCT01746524,NCT01748201,NCT01754415,NCT01771315,NCT01774929,NCT01782417,NCT01782885,NCT01805661,NCT01806766,NCT01808859,NCT01814033"
prostate hypertrophy,NCT01631149
advanced solid tumor malignancies or lymphomas,NCT01163071
upper gastrointestinal bleeding,NCT01123031
adjustment disorder,NCT01141933
ambulatory blood pressure,NCT01522430
energy expenditure in burn children,NCT01544868
impaired glucose tolerance,"NCT00122447,NCT01093677,NCT01094418,NCT01149005,NCT01234649,NCT01275469,NCT01330550,NCT01386645,NCT01414647,NCT01488279,NCT01548651,NCT01588418,NCT01593605,NCT01741467,NCT01754792"
corneal dystrophies hereditary,NCT01206127
stomach neoplasms,"NCT00555672,NCT01133951,NCT01476553,NCT01499576,NCT01531452,NCT01576380,NCT01653496,NCT01822210"
multivessel coronary disease,NCT01399736
newly diagnosed breast cancer,NCT01742143
safety and pharmacokinetics of intravenous ascorbate,NCT01833351
male erectile disorder,NCT01660152
osteolytic lesions of multiple myeloma,NCT01727102
clear cell sarcoma,NCT01331135
pleural,NCT01569919
transfusion reactions,NCT01463345
pelvic floor muscle weakness,NCT01794910
chronic idiopathic thrombocytopenic purpura,"NCT00424177,NCT00540423"
coronary artery disease,"NCT01807078,NCT00114972,NCT00180479,NCT00307047,NCT00357968,NCT00445835,NCT00516178,NCT00617084,NCT00642174,NCT00673075,NCT00697372,NCT00715884,NCT00862641,NCT00916370,NCT00961311,NCT01014624,NCT01078272,NCT01083862,NCT01084993,NCT01085162,NCT01086020,NCT01086800,NCT01093391,NCT01103843,NCT01105923,NCT01109992,NCT01120327,NCT01123291,NCT01128023,NCT01131793,NCT01132456,NCT01132495,NCT01133925,NCT01136343,NCT01140204,NCT01146080,NCT01150500,NCT01153555,NCT01166711,NCT01167582,NCT01171820,NCT01171911,NCT01174433,NCT01177592,NCT01178268,NCT01178320,NCT01182649,NCT01182428,NCT01183442,NCT01192724,NCT01196819,NCT01198730,NCT01200693,NCT01201369,NCT01217307,NCT01218815,NCT01228201,NCT01230216,NCT01232608,NCT01233518,NCT01236807,NCT01254981,NCT01257373,NCT01260584,NCT01262625,NCT01262703,NCT01267838,NCT01271127,NCT01271361,NCT01272713,NCT01275092,NCT01278186,NCT01286311,NCT01290952,NCT01293773,NCT01294163,NCT01303640,NCT01304095,NCT01308346,NCT01308671,NCT01308203,NCT01318460,NCT01319188,NCT01325935,NCT01327365,NCT01333839,NCT01334268,NCT01183962,NCT01343381,NCT01346865,NCT01350869,NCT01360437,NCT01368770,NCT01373632,NCT01373645,NCT01373658,NCT01375296,NCT01375465,NCT01378715,NCT01380821,NCT01384175,NCT01385319,NCT01397175,NCT01411462,NCT01412164,NCT01412827,NCT01420614,NCT01422421,NCT01422889,NCT01423188,NCT01432639,NCT01434641,NCT01436123,NCT01446094,NCT01453712,NCT01463917,NCT01464671,NCT01474434,NCT01488084,NCT01489202,NCT01489917,NCT01490229,NCT01490255,NCT01491061,NCT01491243,NCT01493193,NCT01495949,NCT01496261,NCT01498003,NCT01498692,NCT01500434,NCT01506960,NCT01507519,NCT01508663,NCT01510327,NCT01520311,NCT01531725,NCT01535625,NCT01539603,NCT01542073,NCT01543932,NCT01553513,NCT01555658,NCT01558362,NCT01558830,NCT01563952,NCT01567774,NCT01567826,NCT01568931,NCT01574820,NCT01585285,NCT01587651,NCT01589978,NCT01595789,NCT01596738,NCT01598337,NCT01605045,NCT01605292,NCT01612884,NCT01622387,NCT01623193,NCT01625533,NCT01625754,NCT01633359,NCT01635881,NCT01638078,NCT01642940,NCT01648829,NCT01651208,NCT01651390,NCT01655524,NCT01658683,NCT01672567,NCT01674803,NCT01681095,NCT01682096,NCT01690832,NCT01698372,NCT01699048,NCT01700322,NCT01700972,NCT01701596,NCT01710254,NCT01710748,NCT01715714,NCT01718106,NCT01724957,NCT01725815,NCT01727063,NCT01731041,NCT01742507,NCT01747031,NCT01747317,NCT01747356,NCT01751906,NCT01754259,NCT01754675,NCT01757106,NCT01757665,NCT01761591,NCT01763996,NCT01773512,NCT01776866,NCT01778842,NCT01781546,NCT01783483,NCT01785589,NCT01789411,NCT01789814,NCT01798277,NCT01798433,NCT01809743,NCT01810198,NCT01815008,NCT01815957,NCT01823185,NCT01823510,NCT01826175,NCT01826552,NCT01826773,NCT01830062"
